PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,FemaleParticipantsNumber,MaleParticipantsNumber,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Corroborating external observation by cognitve data in the description and modelling of traditional music,2010,Musicae Scientiae,"Arom, Simha",France,Central African Republic,Central African Republic,Black,NA,NA,NA,Tribe,NA,NA,NA,NA,NA,NA,Central African Republic,Other,,Logan Barrett,NA
"Looking into the eyes of a conductor performing Lerdahl's ""Time after Time""",2010,Musicae Scientiae,"Bigand, Emmanuel",France,France,France,White,1,NA,NA,NA,Musician,NA,NA,1,NA,Classical,Western,precomposed,,Logan Barrett,NA
Auditive Analysis of the Quartetto per Archi in due tempi (1955) by Bruno Maderna,2010,Musicae Scientiae,"Adesi, Anna Rita",Italy,Italy; UK,UK,NA,57,NA,NA,NA,Musicians; non-musicians,NA,NA,NA,NA,Classical,Western,precomposed,,Logan Barrett,NA
The Difficulty of discerning between composed and improvised nusic,2010,Musicae Scientiae,"Lehmann, Adreas C.",Germany,Germany,Germany,NA,102,NA,NA,NA,Musicians,NA,NA,NA,NA,Classical; Romantic; Free Jazz,Western,precomposed,,Logan Barrett,composition; improvisation; creativity
Musical Parameters and Children's Images of motion,2010,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,Israel,NA,60,8.5,NA,NA,Non-Musicians,Volunteer ,28,32,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Tonal implications of dyadic harmony,2010,Musicae Scientiae,"Woolhouse, Matthew",UK,UK,NA,NA,65,22.5,NA,NA,Musicians; non-musicians,Volunteer ,33,32,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,32,NA,NA,Students,NA,NA,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,50,NA,NA,Students,NA,NA,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,21,27.1,4.8,NA,Non-Musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,28,26.5,4.2,NA,non-Musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,20,27.3,4.8,NA,non-Musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,15,26.9,4.4,NA,non-Musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia; China; India,Asian,90,19.82,1.79,Students,NA,NA,45,45,NA,Classical,Western; Malaysia,precomposed,,Logan Barrett,music; consumers; food; preference; choice
The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia; China; India,Asian,180,21.79,2.04,Students,NA,NA,90,90,NA,Classical,Malaysia; India,precomposed,,Logan Barrett,music; consumers; food; preference; choice
A priliminary investigation into the association between body movement patterns and dynamic variation in western contemporary popular singing,2010,Musicae Scientiae,"Turner, Gemma",Australia,Australia,NA,NA,6,NA,NA,NA,Musicians,NA,5,1,NA,Pop,Western,precomposed,,Logan Barrett,western contemporary popular singing; body movement; sound pressure level; subglottal pressure; dynamic variation
Musical tastes of secondary school students' with different cultural backgrounds: a study in the spanis north african city of Melilla,2010,Musicae Scientiae,"Cremades, Roberto",Spain,Spain,Spain,Other,667,14.28,NA,Students,non-Musicians,NA,344,323,NA,NA,NA,NA,,Logan Barrett,NA
Mobile listening situaltions in everyday life: The use of MP3 players while traveling,2010,Musicae Scientiae,"Heye, Andreas",Germany,UK,NA,NA,428,20.4,2.15,Students,NA,Volunteer ,182,246,NA,NA,NA,NA,,Logan Barrett,NA
Percieved improvement in vocal performance following teriary-level classical vocal training: do listeners hear systematic progress?,2010,Musicae Scientiae,"Mitchell, Helen F.",Australia,Australia,NA,NA,10,59,NA,Teachers,Musicians,Paid,9,1,NA,Classical,Western,precomposed,,Logan Barrett,singing voice; voice quality; vocal training; perceptual evaluation; longitudinal
Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,17,NA,NA,Students,non-Musicians,course credit,13,4,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,11,NA,NA,Students,non-Musicians,NA,8,3,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
Modeling Common-Practice Rhythm,2010,Music Perception,"Temperley, David",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Folk; Classical,Western,precomposed,,Logan Barrett,rhythm; meter; music composition; cross-entropy; probabilistic modeling
Self-Generated Interval Subdivision Reduces Variability of Synchronization With A Very Slow Metronome,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,6,NA,NA,Students,musicians,paid,4,2,NA,artificial,NA,precomposed,,Logan Barrett,syncronization; subdivision; tapping; interval timing; timing variability
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,22,NA,NA,Students,musicians,course credit,17,5,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,Students,musicians,course credit,13,11,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,Students,non-Musicians,course credit,13,11,NA,artificial,NA,experimenter-creater,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,23,20.5,NA,Students,NA,course credit,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,36,21.1,NA,Students,NA,course credit,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
Music in the Treatment of Affective Disorders: An exploratory Investigation of a New Method for Music-Therapeutic Research,2010,Music Perception,"Koelsch, Stefan",Germany,Germany,NA,NA,154,24.6,NA,NA,non-Musicians,NA,78,76,NA,Classical,Western,precomposed,,Logan Barrett,music therapy; neuroscience; emotiomn; social cognition; depression
Music-Supported Training is More Efficient than Functional Motor Training for Recovery of Fine Motor Skills in Stroke Patients,2010,Music Perception,"Schneider, Sabine",Germany,Germany,NA,NA,77,NA,NA,Patients,NA,NA,27,50,NA,artificial,NA,Other,,Logan Barrett,neurorehabilitation; music-supported training; stroke; functional motor training; auditory-sensory-motor integration
Spatiotemporal Relations and Movement Trajectories in Visuomotor Synchroniation,2010,Music Perception,"Hove, Michael J.",Germany,Germany,NA,NA,8,23.8,NA,Students,NA,paid,4,4,NA,artificial,NA,experimenter-creater,,Logan Barrett,"synchronization; finger tapping; timing; visuomotor synchrony, motion capture"
The Spatoptemporal representation of dance and music gestures using topological gesture analysis(TGA),2010,Music Perception,"Naveda, Luiz",Belgium,Belgium,NA,NA,4,NA,NA,Dancers,NA,NA,4,0,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,musical gesture; dance; topology; musical meter; variability
Basic Gestures as Spatiotemporal Reference Frames for Repetitive Dance/Music Patterns in Samba and Charleston,2010,Music Perception,"Leman, Marc",Belgium,Belgium,Belgium,NA,3,NA,NA,Dancers,NA,NA,3,0,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,basic gesture; dance; spatiotemporal reference; samba; Charleston
No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,9,NA,NA,Students,NA,NA,6,3,NA,artificial,NA,experimenter-creater,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,8,NA,NA,Students,NA,NA,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,71,24.8,6.8,Students,NA,NA,39,32,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,35,25.3,4.1,NA,NA,NA,15,20,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,8,22.3,1.4,Students,non-Musicians,paid,0,8,NA,NA,NA,NA,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,28,20.1,1.7,Students,NA,NA,NA,NA,NA,NA,NA,semi-precomposed,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
"Nonperformance, as well as Performance, based Music Engagement Predicts Verbal Recall",2010,Music Perception,"Chin, Tanchyuan",Australia,Australia,NA,NA,98,24.87,6.86,NA,NA,Volunteer ,66,32,NA,NA,NA,NA,,Logan Barrett,music training; cognitive functioning; nonmusician; affective engagement; music listening
Embodied Meter: Hierarchical Eigenmodes in Music-Induced Movement,2010,Music Perception,"Toiviainen, Petri",Finland,Finland,NA,NA,18,24.2,3.9,Students,NA,paid,12,6,NA,artificial,Blues,experimenter-creater,,Logan Barrett,music; movement; synchronization; meter; embodiment
Perception of Expression in Conductors' Gestures: A Continuous Response Study,2010,Music Perception,"Luck, Geoff",Finland,Finland,NA,NA,24,24.6,2.7,Students,NA,paid,16,8,NA,Classical,Western,precomposed,,Logan Barrett,expressiveness; movement kinematics; regression; continuous response; point-light display
"Individual Differences, Auditory Imagery, and The Coordination of Body Movements and Sounds in Musical Ensembles",2010,Music Perception,"Keller, Peter E.",Germany,Germany,NA,NA,14,26,NA,NA,NA,paid,4,10,NA,Classical,Western,precomposed,,Logan Barrett,ensemble coordination; music performance; auditory imagery; movement kinematics; individual differences
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,64,NA,NA,Students,NA,course credit,NA,NA,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,44,NA,NA,Students,NA,course credit,NA,NA,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Intensity of Emotions Conveyed and Elicited by Familiar and Unfamiliar Music,2010,Music Perception,"Ali, S. Omar",US,US,NA,NA,64,NA,NA,Students,NA,course credit,NA,NA,NA,Classical; Jazz; Soundtracks,Western,precomposed,,Logan Barrett,music; emotion; familiarity; preference; repetition
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,16,19.6,1.5,Students,Musicians,course credit,NA,NA,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
Melodic Contour Similarity Using Folk Melodies,2010,Music Perception,"Schmuckler, Mark A.",Canada,Canada,NA,NA,18,19.8,1.6,Students,Musicians,course credit,NA,NA,NA,Folk,Western,precomposed,,Logan Barrett,melodic contour; melodic perception; melodic similarity; Fourier analysis; time series analysis
