PaperTitle,Year,Journal,FirstAuthorName_cleaned,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,SampleMusicianshipDescription,SamplingMethodDescription,SampleOtherDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Corroborating external observation by cognitve data in the description and modelling of traditional music,2010,Musicae Scientiae,"Arom, Simha",France,Central African Republic,Central African Republic,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central African Republic,other,,Logan Barrett,NA
"Looking into the eyes of a conductor performing Lerdahl's ""Time after Time""",2010,Musicae Scientiae,"Bigand, Emmanuel",France,France,France,white,1,NA,NA,NA,1,musicians,NA,NA,NA,classical,Western,precomposed,,Logan Barrett,NA
Auditive Analysis of the Quartetto per Archi in due tempi (1955) by Bruno Maderna,2010,Musicae Scientiae,"Adesi, Anna Rita",Italy,Italy; UK,NA,NA,22; 35,NA,NA,NA,NA,musicians; non-musicians,NA,NA,NA,classical,Western,precomposed,,Logan Barrett,NA
The Difficulty of discerning between composed and improvised nusic,2010,Musicae Scientiae,"Lehmann, Andreas C.",Germany,Germany,Germany,NA,102,NA,NA,NA,NA,musicians,NA,NA,NA,classical; jazz,Western,precomposed,,Logan Barrett,composition; improvisation; creativity
Musical Parameters and Children's Images of motion,2010,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,Israel,NA,60,8.5,NA,28,32,non-musicians,volunteer,NA,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
Tonal implications of dyadic harmony,2010,Musicae Scientiae,"Woolhouse, Matthew ",UK,UK,NA,NA,65,22.5,NA,33,32,musicians; non-musicians,volunteer,NA,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillmann, Barbara",France,France,France,NA,32,NA,NA,NA,NA,NA,NA,university students,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillmann, Barbara",France,France,France,NA,50,NA,NA,NA,NA,NA,NA,university students,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,21,27.1,4.8,NA,NA,non-musicians,NA,NA,NA,pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,28,26.5,4.2,NA,NA,non-musicians,NA,NA,NA,pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
