,PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,FemaleParticipantsNumber,MaleParticipantsNumber,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
1,Corroborating external observation by cognitve data in the description and modelling of traditional music,2010,Musicae Scientiae,"Arom, Simha",France,Central African Republic,Central African Republic,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central African Republic,other,,Logan Barrett,NA
2,"Looking into the eyes of a conductor performing Lerdahl's ""Time after Time""",2010,Musicae Scientiae,"Bigand, Emmanuel",France,France,France,white,1,NA,NA,NA,musicians,NA,NA,1,NA,Classical,Western,precomposed,,Logan Barrett,NA
3,Auditive Analysis of the Quartetto per Archi in due tempi (1955) by Bruno Maderna,2010,Musicae Scientiae,"Adesi, Anna Rita",Italy,Italy; UK,UK,NA,57,NA,NA,NA,musicians; non-musicians,NA,NA,NA,NA,Classical,Western,precomposed,,Logan Barrett,NA
4,The Difficulty of discerning between composed and improvised nusic,2010,Musicae Scientiae,"Lehmann, Adreas C.",Germany,Germany,Germany,NA,102,NA,NA,NA,musicians,NA,NA,NA,NA,Classical; Romantic; Free Jazz,Western,precomposed,,Logan Barrett,composition; improvisation; creativity
5,Musical Parameters and Children's Images of motion,2010,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,Israel,NA,60,8.5,NA,NA,non-musicians,volunteer,28,32,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
6,Tonal implications of dyadic harmony,2010,Musicae Scientiae,"Woolhouse, Matthew",UK,UK,NA,NA,65,22.5,NA,NA,musicians; non-musicians,volunteer,33,32,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
7,Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,32,NA,NA,university students,NA,NA,NA,NA,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
8,Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,50,NA,NA,university students,NA,NA,NA,NA,NA,artificial,NA,experimenter-created,,Logan Barrett,NA
9,The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,21,27.1,4.8,NA,non-musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
10,The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,28,26.5,4.2,NA,non-musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
11,The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,20,27.3,4.8,NA,non-musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
12,The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,15,26.9,4.4,NA,non-musicians,NA,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
13,The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia; China; India,Asian,90,19.82,1.79,university students,NA,NA,45,45,NA,Classical,Western; Malaysia,precomposed,,Logan Barrett,music; consumers; food; preference; choice
14,The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia; China; India,Asian,180,21.79,2.04,university students,NA,NA,90,90,NA,Classical,Malaysia; India,precomposed,,Logan Barrett,music; consumers; food; preference; choice
15,A priliminary investigation into the association between body movement patterns and dynamic variation in western contemporary popular singing,2010,Musicae Scientiae,"Turner, Gemma",Australia,Australia,NA,NA,6,NA,NA,NA,musicians,NA,5,1,NA,Pop,Western,precomposed,,Logan Barrett,western contemporary popular singing; body movement; sound pressure level; subglottal pressure; dynamic variation
16,Musical tastes of secondary school students' with different cultural backgrounds: a study in the spanis north african city of Melilla,2010,Musicae Scientiae,"Cremades, Roberto",Spain,Spain,Spain,other,667,14.28,NA,university students,non-musicians,NA,344,323,NA,NA,NA,NA,,Logan Barrett,NA
17,Mobile listening situaltions in everyday life: The use of MP3 players while traveling,2010,Musicae Scientiae,"Heye, Andreas",Germany,UK,NA,NA,428,20.4,2.15,university students,NA,volunteer,182,246,NA,NA,NA,NA,,Logan Barrett,NA
18,Percieved improvement in vocal performance following teriary-level classical vocal training: do listeners hear systematic progress?,2010,Musicae Scientiae,"Mitchell, Helen F.",Australia,Australia,NA,NA,10,59,NA,NA,musicians,paid,9,1,NA,Classical,Western,precomposed,,Logan Barrett,singing voice; voice quality; vocal training; perceptual evaluation; longitudinal
19,Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
20,Comparison of rhythm in musical scores and performances as measured with Pairwise Variability Index,2010,Musicae Scientiae,"Raju, Marju",Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classical,Estonia,precomposed,,Logan Barrett,normalized Pairwise Variability Index(nPVI); culture; score; performance; rhythmic contrast
21,Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,17,NA,NA,university students,non-musicians,course credit,13,4,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
22,Perception of Emotion in Sounded and Imagined Music,2010,Music Perception,"Lucas, Brian J.",US,US,NA,NA,11,NA,NA,university students,non-musicians,NA,8,3,NA,Classical,Western,precomposed,,Logan Barrett,musical imagery; emotion; continuous response; cross-correlation; arousal 
23,Modeling Common-Practice Rhythm,2010,Music Perception,"Temperley, David",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Folk; Classical,Western,precomposed,,Logan Barrett,rhythm; meter; music composition; cross-entropy; probabilistic modeling
24,Self-Generated Interval Subdivision Reduces Variability of Synchronization With A Very Slow Metronome,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,6,NA,NA,university students,musicians,paid,4,2,NA,artificial,NA,precomposed,,Logan Barrett,syncronization; subdivision; tapping; interval timing; timing variability
25,Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,22,NA,NA,university students,musicians,course credit,17,5,NA,artificial,NA,experimenter-created,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
26,Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,university students,musicians,course credit,13,11,NA,artificial,NA,experimenter-created,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
27,Humans Rapidly Learn Grammatical Structure in a New Musical Scale,2010,Music Perception,"Loui, Psyche",US,US,NA,NA,24,NA,NA,university students,non-musicians,course credit,13,11,NA,artificial,NA,experimenter-created,,Logan Barrett,statistical learning; auditory perception; music cogniton; preference; grammar
28,"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,23,20.5,NA,university students,NA,course credit,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
29,"Plink: ""Thin Slices"" of Music",2010,Music Perception,"Krumhansl, Carol L.",US,US,NA,NA,36,21.1,NA,university students,NA,course credit,NA,NA,NA,Pop,Western,precomposed,,Logan Barrett,music memory; meta-memory; popular music; emotion; style
30,Music in the Treatment of Affective Disorders: An exploratory Investigation of a New Method for Music-Therapeutic Research,2010,Music Perception,"Koelsch, Stefan",Germany,Germany,NA,NA,154,24.6,NA,NA,non-musicians,NA,78,76,NA,Classical,Western,precomposed,,Logan Barrett,music therapy; neuroscience; emotiomn; social cognition; depression
31,Music-Supported Training is More Efficient than Functional Motor Training for Recovery of Fine Motor Skills in Stroke Patients,2010,Music Perception,"Schneider, Sabine",Germany,Germany,NA,NA,77,NA,NA,patients,NA,NA,27,50,NA,artificial,NA,other,,Logan Barrett,neurorehabilitation; music-supported training; stroke; functional motor training; auditory-sensory-motor integration
32,Spatiotemporal Relations and Movement Trajectories in Visuomotor Synchroniation,2010,Music Perception,"Hove, Michael J.",Germany,Germany,NA,NA,8,23.8,NA,university students,NA,paid,4,4,NA,artificial,NA,experimenter-created,,Logan Barrett,"synchronization; finger tapping; timing; visuomotor synchrony, motion capture"
33,The Spatoptemporal representation of dance and music gestures using topological gesture analysis(TGA),2010,Music Perception,"Naveda, Luiz",Belgium,Belgium,NA,NA,4,NA,NA,NA,NA,NA,4,0,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,musical gesture; dance; topology; musical meter; variability
34,Basic Gestures as Spatiotemporal Reference Frames for Repetitive Dance/Music Patterns in Samba and Charleston,2010,Music Perception,"Leman, Marc",Belgium,Belgium,Belgium,NA,3,NA,NA,NA,NA,NA,3,0,NA,Latin; Jazz,Brazil,precomposed,,Logan Barrett,basic gesture; dance; spatiotemporal reference; samba; Charleston
35,No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,9,NA,NA,university students,NA,NA,6,3,NA,artificial,NA,experimenter-created,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
36,No Sustained Sound Illusion in Rhythmic Sequences,2010,Music Perception,"Repp, Bruno H.",US,US,NA,NA,8,NA,NA,university students,NA,NA,NA,NA,NA,artificial,NA,experimenter-created,,Logan Barrett,time perception; filed duration illusion; interval subdivision; tempo perception; sound offset perception
37,Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,71,24.8,6.8,university students,NA,NA,39,32,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
38,Exploring Perceptual and Acoustical Correlates of Polyphonic TImbre,2010,Music Perception,"Alluri, Vinoo",Finland,Finland,NA,NA,35,25.3,4.1,NA,NA,NA,15,20,NA,Pop,India,precomposed,,Logan Barrett,polyphonic timbre; bipolar scales; computational analysis; acoustic features; modeling
39,"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,8,22.3,1.4,university students,non-musicians,paid,0,8,NA,NA,NA,NA,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
40,"Agressiveness of the Growl-like Timbre: Acoustic Characteristics, Musical Implications. and Biomechanical Mechanisms",2010,Music Perception,"Tsai, Chen-Gia",Taiwan,Taiwan,NA,NA,28,20.1,1.7,university students,NA,NA,NA,NA,NA,NA,NA,semi-precomposed,,Logan Barrett,growl; agressiveness; Beijing opera; heavy metal; spine stability
41,"Nonperformance, as well as Performance, based Music Engagement Predicts Verbal Recall",2010,Music Perception,"Chin, Tanchyuan",Australia,Australia,NA,NA,98,24.87,6.86,NA,NA,volunteer,66,32,NA,NA,NA,NA,,Logan Barrett,music training; cognitive functioning; nonmusician; affective engagement; music listening
42,Embodied Meter: Hierarchical Eigenmodes in Music-Induced Movement,2010,Music Perception,"Toiviainen, Petri",Finland,Finland,NA,NA,18,24.2,3.9,university students,NA,paid,12,6,NA,artificial,Western,experimenter-created,,Logan Barrett,music; movement; synchronization; meter; embodiment
