PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Corroborating external observation by cognitve data in the description and modelling of traditional music,2010,Musicae Scientiae,"Arom, Simha",France,Central African Republic,Central African Republic,Black,NA,NA,NA,NA,NA,,Tribe,NA,NA,NA,NA,Central African Republic,Other,,Logan Barrett,NA
"Looking into the eyes of a conductor performing Lerdahl's ""Time after Time""",2010,Musicae Scientiae,"Bigand, Emmanuel",France,France,France,White,1,NA,NA,NA,1,,NA,Musician,NA,NA,Classical,Western,precomposed,,Logan Barrett,NA
Auditive Analysis of the Quartetto per Archi in due tempi (1955) by Bruno Maderna,2010,Musicae Scientiae,"Adesi, Anna Rita",Italy,Italy; UK,UK,NA,57,NA,NA,NA,NA,,NA,Musicians; non-musicians,NA,NA,Classical,Western,precomposed,,Logan Barrett,NA
The Difficulty of discerning between composed and improvised nusic,2010,Musicae Scientiae,"Lehmann, Adreas C.",Germany,Germany,Germany,NA,102,NA,NA,NA,NA,,NA,Musicians,NA,NA,Classical; Romantic; Free Jazz,Western,precomposed,,Logan Barrett,composition; improvisation; creativity
Musical Parameters and Children's Images of motion,2010,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,Israel,NA,60,8.5,NA,28,32,,NA,Non-Musicians,Volunteer ,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Tonal implications of dyadic harmony,2010,Musicae Scientiae,"Woolhouse, Matthew",UK,UK,NA,NA,65,22.5,NA,33,32,,NA,Musicians; non-musicians,Volunteer ,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,32,NA,NA,NA,NA,,Students,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
Musical structure processing after repeated listening: Schematic expectations resist veridical expectations,2010,Musicae Scientiae,"Tillman, Barbara",France,France,France,NA,50,NA,NA,NA,NA,,Students,NA,NA,NA,artificial,NA,experimenter-creater,,Logan Barrett,NA
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,21,27.1,4.8,NA,NA,,NA,Non-Musicians,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,28,26.5,4.2,NA,NA,,NA,non-Musicians,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,20,27.3,4.8,NA,NA,,NA,non-Musicians,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The perception of structural boundaries in polyphonic representations of western popular music,2010,Musicae Scientiae,"Bruderer, Michael J.",Netherlands,Netherlands,NA,NA,15,26.9,4.4,NA,NA,,NA,non-Musicians,NA,NA,Pop,Western,precomposed,,Logan Barrett,music segmentation; popular music; perceptual cues; boundary salience; polyphony
The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia,Asian,90,19.82,1.79,45,45,,Students,NA,NA,NA,Classical,Western; Malaysia,precomposed,,Logan Barrett,music; consumers; food; preference; choice
The effects of musical fit on choice between two competing foods,2010,Musicae Scientiae,"Yeoh, Joanne P.S.",UK,Malaysia,Malaysia,Asian,180,21.79,2.04,90,90,,Students,NA,NA,NA,Classical,Malaysia; India,precomposed,,Logan Barrett,music; consumers; food; preference; choice
A priliminary investigation into the association between body movement patterns and dynamic variation in western contemporary popular singing,2010,Musicae Scientiae,"Turner, Gemma",Australia,Australia,NA,NA,6,NA,NA,5,1,,NA,Musicians,NA,NA,Pop,Western,precomposed,,Logan Barrett,western contemporary popular singing; body movement; sound pressure level; subglottal pressure; dynamic variation
Musical tastes of secondary school students' with different cultural backgrounds: a study in the spanis north african city of Melilla,2010,Musicae Scientiae,"Cremades, Roberto",Spain,Spain,Spain,Other,667,14.28,NA,344,323,,Students,non-Musicians,NA,NA,NA,NA,NA,,Logan Barrett,NA
Mobile listening situaltions in everyday life: The use of MP3 players while traveling,2010,Musicae Scientiae,"Heye, Andreas",Germany,UK,NA,NA,428,20.4,2.15,182,246,,Students,NA,Volunteer ,NA,NA,NA,NA,,Logan Barrett,NA
