country,United.States,United.States.CI,China,China.CI
Algeria,0.138,"0.132, 0.144",0.221,"0.216, 0.228"
Andorra,0.115,"0.109, 0.122",0.249,"0.242, 0.258"
Argentina,0.071,"0.0685, 0.0749",0.15,"0.146, 0.155"
Armenia,0.154,"0.149, 0.161",0.177,"0.171, 0.183"
Australia,0.035,"0.0334, 0.0384",0.131,"0.127, 0.135"
Azerbaijan,0.175,"0.169, 0.181",0.158,"0.153, 0.165"
Bahrain,0.167,"0.161, 0.173",0.195,"0.189, 0.201"
Belarus,0.071,"0.0678, 0.0745",0.101,"0.0966, 0.106"
Brazil,0.072,"0.0693, 0.0753",0.159,"0.156, 0.163"
Bulgaria,0.108,"0.104, 0.114",0.116,"0.111, 0.123"
Burkina Faso,0.143,"0.139, 0.149",0.153,"0.149, 0.157"
Canada,0.026,"0.0246, 0.0284",0.135,"0.132, 0.14"
Chile,0.078,"0.0752, 0.0811",0.156,"0.152, 0.161"
China,0.15,"0.146, 0.155",0,
Colombia,0.102,"0.0987, 0.106",0.182,"0.178, 0.186"
Cyprus,0.057,"0.0548, 0.0606",0.118,"0.114, 0.122"
Ecuador,0.109,"0.105, 0.114",0.197,"0.192, 0.204"
Egypt,0.234,"0.228, 0.241",0.186,"0.183, 0.19"
Estonia,0.117,"0.112, 0.122",0.097,"0.093, 0.102"
Ethiopia,0.13,"0.126, 0.136",0.153,"0.149, 0.158"
Finland,0.072,"0.0688, 0.0764",0.176,"0.171, 0.185"
France,0.079,"0.0751, 0.0846",0.181,"0.175, 0.19"
Georgia,0.143,"0.139, 0.148",0.143,"0.14, 0.146"
Germany,0.08,"0.0777, 0.0841",0.114,"0.111, 0.117"
Ghana,0.153,"0.149, 0.158",0.172,"0.169, 0.175"
Great Britain,0.046,"0.0429, 0.0509",0.172,"0.166, 0.181"
Guatemala,0.134,"0.13, 0.14",0.192,"0.186, 0.198"
Hong Kong,0.09,"0.0875, 0.0948",0.085,"0.082, 0.0898"
Hungary,0.102,"0.0984, 0.108",0.125,"0.121, 0.132"
India,0.093,"0.0906, 0.0968",0.106,"0.104, 0.11"
Indonesia,0.178,"0.173, 0.184",0.167,"0.163, 0.171"
Iran,0.15,"0.145, 0.156",0.125,"0.122, 0.128"
Iraq,0.162,"0.158, 0.167",0.193,"0.189, 0.197"
Italy,0.061,"0.0591, 0.0652",0.163,"0.157, 0.169"
Japan,0.115,"0.112, 0.119",0.118,"0.114, 0.122"
Jordan,0.195,"0.19, 0.2",0.193,"0.189, 0.197"
Kazakhstan,0.107,"0.103, 0.111",0.099,"0.0947, 0.104"
Kuwait,0.122,"0.117, 0.127",0.163,"0.157, 0.169"
Kyrgyzstan,0.132,"0.128, 0.137",0.161,"0.156, 0.166"
Lebanon,0.103,"0.0988, 0.109",0.175,"0.169, 0.182"
Libya,0.146,"0.142, 0.151",0.198,"0.194, 0.202"
Malaysia,0.125,"0.121, 0.129",0.156,"0.153, 0.16"
